review_id,product_id,user_id,rating,title,review_text
186,103,U186,4.0,Aloe and bamboo conditioner for soft hair,dry hard day suggested shampoo conditioner difference alovera alovera totally satisfied abs suggest
187,103,U187,5.0,Best quality products,herbal essence shampoo conditioner shiny smoother
188,103,U188,4.0,Silky soft,mild fragrance silky however find slightly highly price compare similar option market
189,103,U189,4.0,Average product,chemical free not remove oil wash smell oky feel highly price start trial package small quantities not happy
190,103,U190,5.0,Smells lovely,conditioner leave fragrance day
191,103,U191,5.0,One of the best.,instantly felt softness wash hairfall compare shampoos fragrance mild doesnt stay re-purchase
192,103,U192,5.0,This is very gentle,gentle purchase buy
193,103,U193,5.0,The best one,variant aloe vera bamboo entire range herbal essences conditioner detangles softens weighing making greasy mild lingers short conditioner repurchase
194,103,U194,5.0,Woww conditioner,conditioner manageable making silky claim not parabens sulphates big thumb smell recommend repurchase shampoo combo result helpful wavy curly
195,103,U195,5.0,Must for dry frizzy hairs,option feel soft shiny post
196,103,U196,5.0,Worth every penny,work dry smell blindly pick
197,103,U197,5.0,Absolutely amazing!!,struggling find conditioner super frizzy soft shiny detangles applying
198,103,U198,5.0,Wow Product,opt sulphate free brand not work improved volume thought
199,103,U199,5.0,A very good conditioner,brand shampoo result mom gentle conditioner frequently require smoothness shine work scalp healthy mild fragrance soothing
200,103,U200,5.0,Wonderful product..!!,conditioner awesum super soft oily day mild fresh smell paraban free
201,103,U201,5.0,Leaves hair so smooth,conditioner soft fragrance leave soothing
202,103,U202,5.0,Best shampoo,shampoo work wonderfully facing bad fall wash feel dramatically soft facing type issue pls previously loreal professional shampoo mask year recent treatment not happy shampoo mask not working friend suggested big hope work
203,103,U203,5.0,Shiny hair,shine smoothness shampooing shampoo loving result
204,103,U204,5.0,Loving it,helped making soft frizz free rough application conditioner
205,103,U205,5.0,Simply love this product.,loved conditioner yoyr tangle free silky soft not require serum conditioning feel budget friendly
206,103,U206,5.0,Makes my hair soft,conditioner scent feel silkier feel bouncy
207,103,U207,4.0,Good conditioner,job feel bit thick
208,103,U208,4.0,Not work so much,condition not work conditioner felt dry
209,103,U209,4.0,Softer hair,leaves frangrance pretty smoother
210,103,U210,4.0,Okay,smell weird bamboo variant not argan oil whipped coconut range
211,103,U211,4.0,Good conditioner,conditioner nothing
212,103,U212,4.0,It's very nice ¹,soft
213,103,U213,4.0,Smells awesome but not bottle sealed,smell awesome quiet surprise bottle not sealed hope not
